院校,科类,批次,专业组,专业代码,专业名称,专业类,26计划,25分,25位次,风险类型
"国防科技大学","物理","提前本科批","国防科技大学06","19","海洋技术(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格)","海洋科学类","1","","","刺客专业"
"国防科技大学","物理","提前本科批","国防科技大学06","33","导航工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格)","测绘类","1","653","3282","刺客专业"
"联勤保障部队工程大学","物理","提前本科批","联勤保障部队工程大学03","13","智能运输工程(无人运输投送分队指挥军官)(只招男生)(体检标准:通用标准合格)","交通运输类","1","611","24770","刺客专业"
"海军工程大学","物理","提前本科批","海军工程大学01","05","辐射防护与核安全(辐射防护与安全初级技术军官)(只招男生)(体检标准:通用标准合格)","核工程类","1","621","17707","刺客专业"
"海军工程大学","物理","提前本科批","海军工程大学02","16","轮机工程(海警舰艇机电初级指挥警官)(只招男生)(体检标准:舰艇岗位合格)","交通运输类","1","","","刺客专业"
"海军工程大学","物理","提前本科批","海军工程大学02","17","轮机工程(舰艇机电初级指挥与技术军官)(只招男生)(体检标准:舰艇岗位合格)","交通运输类","2","624","15714","刺客专业"
"海军工程大学","物理","提前本科批","海军工程大学02","18","船舶与海洋工程(海运补给初级指挥军官)(只招男生)(体检标准:舰艇岗位合格)","海洋工程类","1","620","18320","刺客专业"
"海军工程大学","物理","提前本科批","海军工程大学03","21","轮机工程(潜艇机电初级指挥与技术军官)(只招男生)(体检标准:潜艇岗位合格)","交通运输类","1","620","18320","刺客专业"
"海军大连舰艇学院","物理","提前本科批","海军大连舰艇学院01","03","导航工程(舰艇航海初级指挥军官)(只招男生)(体检标准:舰艇岗位合格)","测绘类","2","631","11770","刺客专业"
"海军大连舰艇学院","物理","提前本科批","海军大连舰艇学院01","04","航海技术(海警舰艇航通初级指挥警官)(只招男生)(体检标准:舰艇岗位合格)","交通运输类","5","605","29639","刺客专业"
"海军大连舰艇学院","物理","提前本科批","海军大连舰艇学院01","05","航海技术(舰艇航通初级指挥军官)(只招男生)(体检标准:舰艇岗位合格)","交通运输类","3","638","8363","刺客专业"
"空军工程大学","物理","提前本科批","空军工程大学04","23","导航工程(航空导航初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格)","测绘类","4","626","14488","刺客专业"
"网络空间部队信息工程大学","物理","提前本科批","网络空间部队信息工程大学02","20","认知安全与技术(网络认知安全初级技术军官)(只招男生)(体检标准:通用标准合格)","军事类","1","631","11770","刺客专业"
"中国人民警察大学","物理","本科批","中国人民警察大学09","24","消防工程(非公安类招生)(以下专业在校本部学习。报考以下专业须查阅院校招生章程)","公安技术类","6","566","70815","刺客专业"
"中国人民警察大学","物理","本科批","中国人民警察大学09","28","核生化消防(非公安类招生)(以下专业在校本部学习。报考以下专业须查阅院校招生章程)","公安技术类","5","564","73285","刺客专业"
"国际关系学院","历史","提前本科批","国际关系学院01","03","英语(只招英语考生)(只招男生)(报考以下专业须查阅院校招生章程)","外国语言文学类","1","606","4270","刺客专业"
"国际关系学院","历史","提前本科批","国际关系学院02","06","英语(只招英语考生)(只招女生)(报考以下专业须查阅院校招生章程)","外国语言文学类","1","613","3093","刺客专业"
"国际关系学院","历史","提前本科批","国际关系学院02","08","行政管理(只招女生)(报考以下专业须查阅院校招生章程)","公共管理类","2","612","3262","刺客专业"
"国际关系学院","物理","提前本科批","国际关系学院05","16","行政管理(只招男生)(报考以下专业须查阅院校招生章程)","公共管理类","1","623","16380","刺客专业"
"中央司法警官学院","历史","提前本科批","中央司法警官学院01","02","行政管理(非司法警察类招生)(只招男生)(报考以下专业的考生须参加政治考察、面试、体检和体能测试等,均须合格)","公共管理类","1","","","刺客专业"
"中央司法警官学院","历史","提前本科批","中央司法警官学院02","04","行政管理(非司法警察类招生)(只招女生)(报考以下专业的考生须参加政治考察、面试、体检和体能测试等,均须合格)","公共管理类","1","","","刺客专业"
"中央司法警官学院","物理","提前本科批","中央司法警官学院07","17","行政管理(非司法警察类招生)(只招男生)(报考以下专业的考生须参加政治考察、面试、体检和体能测试等,均须合格)","公共管理类","1","","","刺客专业"
"中央司法警官学院","物理","提前本科批","中央司法警官学院08","19","行政管理(非司法警察类招生)(只招女生)(报考以下专业的考生须参加政治考察、面试、体检和体能测试等,均须合格)","公共管理类","1","","","刺客专业"
"中国民用航空飞行学院","物理","本科批","中国民用航空飞行学院04","16","安全工程(校本部)(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)","安全科学与工程类","2","561","77094","刺客专业"
"中国民用航空飞行学院","物理","本科批","中国民用航空飞行学院04","18","消防工程(校本部)(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)","公安技术类","2","561","77094","刺客专业"
"中国民用航空飞行学院","物理","本科批","中国民用航空飞行学院04","21","导航工程(导航应用与规划、空管保障设施)(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)","测绘类","2","571","64678","刺客专业"
"中国民用航空飞行学院","物理","本科批","中国民用航空飞行学院04","22","智慧交通(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)","交通运输类","2","","","刺客专业"
"中国民用航空飞行学院","物理","本科批","中国民用航空飞行学院04","23","交通运输(空中交通管制、飞行签派、航行情报)(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)","交通运输类","9","575","59906","刺客专业"
"中国民用航空飞行学院","物理","本科批","中国民用航空飞行学院04","25","交通工程(机场管理与工程)(校本部)(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)","交通运输类","1","577","57592","刺客专业"
"中国消防救援学院","物理","提前本科批","中国消防救援学院02","02","核生化消防(城乡消防救援队伍)(只招男生)(报考以下专业须参加生源地省级消防员招录工作办公室组织的政治考核、体格检查、心理测试、面试,结论均为合格)","公安技术类","1","","","刺客专业"
"中国消防救援学院","物理","提前本科批","中国消防救援学院02","03","核生化消防(机动消防救援队伍)(只招男生)(报考以下专业须参加生源地省级消防员招录工作办公室组织的政治考核、体格检查、心理测试、面试,结论均为合格)","公安技术类","1","","","刺客专业"
"中国消防救援学院","物理","提前本科批","中国消防救援学院02","07","消防工程(城乡消防救援队伍)(只招男生)(报考以下专业须参加生源地省级消防员招录工作办公室组织的政治考核、体格检查、心理测试、面试,结论均为合格)","公安技术类","2","631","11770","刺客专业"
"南京大学","历史","本科批","南京大学03","08","英语(以下专业(类)在鼓楼校区和仙林校区学习)","外国语言文学类","15","643","451","刺客专业"
"南京大学","历史","本科批","南京大学03","09","德语(德语法学实验班)(德语+法学双学士学位复合型人才培养项目)(以下专业(类)在鼓楼校区和仙林校区学习)","外国语言文学类","5","646","337","刺客专业"
"南京大学","物理","提前本科批","南京大学06","15","建筑类(智慧人居实验班)(建筑学、城乡规划)(以下专业(类)只招收该校测试合格的考生,在鼓楼校区和仙林校区学习)","建筑类","30","","","刺客专业"
"南京大学","物理","提前本科批","南京大学06","19","地质学类(地质学、地质工程、水文与水资源工程、地球物理学、行星科学)(以下专业(类)只招收该校测试合格的考生,在鼓楼校区和仙林校区学习)","地质学类","30","","","刺客专业"
"南京大学","物理","提前本科批","南京大学06","21","化学(以下专业(类)只招收该校测试合格的考生,在鼓楼校区和仙林校区学习)","化学类","12","","","刺客专业"
"南京大学","物理","提前本科批","南京大学06","22","生物科学(以下专业(类)只招收该校测试合格的考生,在鼓楼校区和仙林校区学习)","生物科学类","10","","","刺客专业"
"东南大学","物理","提前本科批","东南大学07","10","建筑类(建筑学(学制五年)、城乡规划(学制四年)、风景园林(学制四年))(以下专业只招收该校测试合格的考生。其中集成电路设计与集成系统专业第一、二学年在南京校区学习,第三、四学年在无锡校区学习)","建筑类","15","","","刺客专业"
"东南大学","物理","提前本科批","东南大学07","17","生物医学工程类(生物医学工程、智能医学工程、生物信息学、生物科学)(以下专业只招收该校测试合格的考生。其中集成电路设计与集成系统专业第一、二学年在南京校区学习,第三、四学年在无锡校区学习)","生物医学工程类","20","","","刺客专业"
"东南大学","物理","本科批","东南大学11","26","建筑类(建筑学(学制五年)、城乡规划(学制四年)、风景园林(学制四年))(以下专业中集成电路设计与集成系统专业第一、二学年在南京校区学习,第三、四学年在无锡校区学习)","建筑类","5","","","刺客专业"
"东南大学","物理","本科批","东南大学11","31","生物医学工程类(生物医学工程、智能医学工程、生物信息学、生物科学)(以下专业中集成电路设计与集成系统专业第一、二学年在南京校区学习,第三、四学年在无锡校区学习)","生物医学工程类","4","657","2415","刺客专业"
"东南大学","物理","本科批","东南大学11","36","生物科学(生物科学+计算机科学与技术双学士学位复合型人才培养项目)(以下专业中集成电路设计与集成系统专业第一、二学年在南京校区学习,第三、四学年在无锡校区学习)","生物科学类","3","657","2415","刺客专业"
"东南大学","物理","本科批","东南大学13","43","英语(英语+信息工程双学士学位复合型人才培养项目)","外国语言文学类","5","654","3082","刺客专业"
"南京航空航天大学","历史","本科批","南京航空航天大学01","02","行政管理(人工智能/航空管理复合创新班)(以下专业第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","公共管理类","6","614","2945","刺客专业"
"南京航空航天大学","历史","本科批","南京航空航天大学01","03","英语(国际组织/涉外法律/人工智能复合创新班)(只招英语考生)(以下专业第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","外国语言文学类","16","614","2945","刺客专业"
"南京航空航天大学","历史","本科批","南京航空航天大学01","06","行政管理(以下专业第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","公共管理类","14","615","2785","刺客专业"
"南京航空航天大学","历史","本科批","南京航空航天大学01","08","英语(民航业务/国际贸易)(只招英语考生)(以下专业第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","外国语言文学类","4","615","2785","刺客专业"
