identityKey,院校名称,院校专业组代码,专业代码,专业名称,专业类,规范专业类,风险等级,标色建议,组内核心簇,风险说明_严格版
874105+18,三亚学院,874105,18,英语,外国语言文学类,外国语言文学类,红色高危,红色,商科管理；经财金融,与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
525103+07,三峡大学,525103,07,水利水电工程,水利类,水利类,红色高危,红色,电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
525103+08,三峡大学,525103,08,土木工程,土木类,土木类,红色高危,红色,电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
525103+09,三峡大学,525103,09,地质工程,地质类,地质类,红色高危,红色,电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
525103+19,三峡大学,525103,19,生物工程,生物工程类,生物工程类,红色高危,红色,电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点，专业水平：国一/卓越工程；但硬实力不抵消方向/热度落差。
525103+20,三峡大学,525103,20,生物科学,生物科学类,生物科学类,红色高危,红色,电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：C-，有本专业相关硕士点；但硬实力不抵消方向/热度落差。
855803+05,三峡大学科技学院,855803,05,水利水电工程,水利类,水利类,红色高危,红色,机械智能制造；计算机软件；电子信息集成电路；自动化仪器控制；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
855803+10,三峡大学科技学院,855803,10,生物工程,生物工程类,生物工程类,红色高危,红色,机械智能制造；计算机软件；电子信息集成电路；自动化仪器控制；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。
855803+12,三峡大学科技学院,855803,12,生物技术,生物科学类,生物科学类,红色高危,红色,机械智能制造；计算机软件；电子信息集成电路；自动化仪器控制；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。
855803+17,三峡大学科技学院,855803,17,水务工程,水利类,水利类,红色高危,红色,机械智能制造；计算机软件；电子信息集成电路；自动化仪器控制；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。
241002+08,三明学院,241002,08,环境工程,环境科学与工程类,环境科学与工程类,红色高危,红色,计算机软件；机械智能制造；环境安全生态；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。
241002+09,三明学院,241002,09,资源环境科学,环境科学与工程类,环境科学与工程类,红色高危,红色,计算机软件；机械智能制造；环境安全生态；电子信息集成电路；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。
191101+18,三江学院,191101,18,建筑学,建筑类,建筑类,红色高危,红色,文史哲法社；商科管理,与组内主体距离较远且热度落差明显。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
191101+19,三江学院,191101,19,风景园林,建筑类,建筑类,红色高危,红色,文史哲法社；商科管理,与组内主体距离较远且热度落差明显。
191102+40,三江学院,191102,40,建筑学,建筑类,建筑类,红色高危,红色,文史哲法社；商科管理,与组内主体距离较远且热度落差明显。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
191102+41,三江学院,191102,41,风景园林,建筑类,建筑类,红色高危,红色,文史哲法社；商科管理,与组内主体距离较远且热度落差明显。
191103+58,三江学院,191103,58,智能建造与智慧交通,土木类,土木类,红色高危,红色,计算机软件；电子信息集成电路；自动化仪器控制；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；机械/智能制造与土木建筑不是同一报考热度层级，土建方向在智能制造组中需单独标注。；与组内主体距离较远且热度落差明显。
191103+59,三江学院,191103,59,土木工程,土木类,土木类,红色高危,红色,计算机软件；电子信息集成电路；自动化仪器控制；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；机械/智能制造与土木建筑不是同一报考热度层级，土建方向在智能制造组中需单独标注。；与组内主体距离较远且热度落差明显。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
802903+10,上海中侨职业技术大学,802903,10,建筑工程,土建施工类,土建施工类,红色高危,红色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；机械/智能制造与土木建筑不是同一报考热度层级，土建方向在智能制造组中需单独标注。；与组内主体距离较远且热度落差明显。
802903+11,上海中侨职业技术大学,802903,11,工程造价,建设工程管理类,建设工程管理类,红色高危,红色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；机械/智能制造与土木建筑不是同一报考热度层级，土建方向在智能制造组中需单独标注。；与组内主体距离较远且热度落差明显。
802903+19,上海中侨职业技术大学,802903,19,食品质量与安全,食品类,食品类,红色高危,红色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。
802903+20,上海中侨职业技术大学,802903,20,食品营养与健康,食品类,食品类,红色高危,红色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。
802903+21,上海中侨职业技术大学,802903,21,合成生物技术,生物技术类,生物技术类,红色高危,红色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。
210304+06,上海交通大学,210304,06,临床药学,药学类,药学类,红色高危,红色,能源动力核石油,与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：A-，有本专业相关博士点；但硬实力不抵消方向/热度落差。
210306+12,上海交通大学,210306,12,具身智能,交叉学科类,交叉学科类,红色高危,红色,电子信息集成电路,与信息新工科主体距离较远，严格版进入候选池。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：A；五轮：A，有本专业相关博士点；但硬实力不抵消方向/热度落差。
210306+21,上海交通大学,210306,21,生物科学类,生物科学类,生物科学类,红色高危,红色,电子信息集成电路,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：A+；五轮：A+，有本专业相关博士点，专业水平：国一/生物科学拔尖学生培养基地；但硬实力不抵消方向/热度落差。
214105+16,上海商学院,214105,16,食品质量与安全,食品科学与工程类,食品科学与工程类,红色高危,红色,计算机软件；食品,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
211207+20,上海大学,211207,20,土木工程,土木类,土木类,红色高危,红色,电子信息集成电路；机械智能制造；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；机械/智能制造与土木建筑不是同一报考热度层级，土建方向在智能制造组中需单独标注。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
211207+21,上海大学,211207,21,环境工程,环境科学与工程类,环境科学与工程类,红色高危,红色,电子信息集成电路；机械智能制造；电气电力,信息类新工科主体组中出现传统土建/生化环地矿农等远缘方向，调剂落差大。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
212002+14,上海工程技术大学,212002,14,低空技术与工程,交叉学科类,交叉学科类,红色高危,红色,电子信息集成电路；自动化仪器控制,与信息新工科主体距离较远，严格版进入候选池。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
212002+16,上海工程技术大学,212002,16,交通运输,交通运输类,交通运输类,红色高危,红色,电子信息集成电路；自动化仪器控制,与信息新工科主体距离较远，严格版进入候选池。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
