key,school,group,code,major,token,sheet,row,score
m_210307_31,上海交通大学,上海交通大学07,31,"电子信息类(能源与动力工程、机械工程、信息工程)(巴黎卓越工程师学院,含笛卡尔班)(中外合作办学)",机械工程,985,5,103
m_210307_32,上海交通大学,上海交通大学07,32,"电子信息类(电子与计算机工程、机械工程、计算机科学与技术、数据科学与大数据技术)(浦江国际学院,依托张江国际理工学院)(含电子与计算机工程+工商管理双学士学位)(中外合作办学)",电子与计算机工程,985,5,103
m_210307_31,上海交通大学,上海交通大学07,31,"电子信息类(能源与动力工程、机械工程、信息工程)(巴黎卓越工程师学院,含笛卡尔班)(中外合作办学)",电子信息类,985,6,128
m_210307_32,上海交通大学,上海交通大学07,32,"电子信息类(电子与计算机工程、机械工程、计算机科学与技术、数据科学与大数据技术)(浦江国际学院,依托张江国际理工学院)(含电子与计算机工程+工商管理双学士学位)(中外合作办学)",电子信息类,985,6,128
m_210206_14,同济大学,同济大学06,14,机械类(建筑电气与智能化、机械电子工程、车辆工程)(中外合作办学),建筑电气与智能化,985,9,103
m_310605_15,北京航空航天大学,北京航空航天大学05,15,"工科试验班类(中法未来科技试验班)(以下按大类招生专业,所含专业详见院校招生网。在浙江省杭州市余杭区双红桥街166号学习)(中外合作办学)",工科试验班类,985,12,126
m_310604_14,北京航空航天大学,北京航空航天大学04,14,"工科试验班类(中西智能试验班)(以下按大类招生专业,所含专业详见院校招生网。在浙江省杭州市余杭区双红桥街166号学习)(中外合作办学)",工科试验班类,985,14,126
m_520205_20,华中科技大学,华中科技大学05,20,"生物科学(与埃夫里-巴黎萨克雷大学合办,4+0培养模式,部分课程英语授课)(报考以下专业有色觉要求,具体请查阅院校招生章程)(中外合作办学)",生物科学,985,23,128
m_520203_16,华中科技大学,华中科技大学03,16,"药学(同济医学院)(与英国伯明翰大学合办,4+0培养模式,部分课程英语授课)(报考以下专业有色觉要求,具体请查阅院校招生章程)(中外合作办学)",药学,985,24,128
m_610113_25,四川大学,四川大学13,25,"电气工程及其自动化(入学后不能转专业)(具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",电气工程及其自动化,985,25,128
m_610112_20,四川大学,四川大学12,20,"计算机科学与技术(以下专业在江安校区学习,入校后只能在奥克兰学院内转专业。具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",计算机科学与技术,985,26,128
m_610112_22,四川大学,四川大学12,22,"人工智能(以下专业在江安校区学习,入校后只能在奥克兰学院内转专业。具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",人工智能,985,26,128
m_610112_23,四川大学,四川大学12,23,"机械设计制造及其自动化(以下专业在江安校区学习,入校后只能在奥克兰学院内转专业。具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",机械设计制造及其自动化,985,26,128
m_610112_24,四川大学,四川大学12,24,"材料科学与工程(以下专业在江安校区学习,入校后只能在奥克兰学院内转专业。具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",材料科学与工程,985,26,128
m_610112_21,四川大学,四川大学12,21,"电子信息工程(以下专业在江安校区学习,入校后只能在奥克兰学院内转专业。具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",电子信息工程,985,26,128
m_520110_26,武汉大学,武汉大学10,26,"建筑学(含数智建筑方向、城市设计方向)(与英国邓迪大学联合举办,采取4+1培养模式)(中外合作办学)",建筑学,985,27,128
m_520108_21,武汉大学,武汉大学08,21,"电气工程及其自动化(只录取明确填报该专业志愿的考生)(以下专业与英国杜伦大学联合举办,采取4+0培养模式,学习期间可选择赴杜伦大学交流学习)(中外合作办学)",电气工程及其自动化,985,28,128
m_520108_22,武汉大学,武汉大学08,22,"电子信息工程(只录取明确填报该专业志愿的考生)(以下专业与英国杜伦大学联合举办,采取4+0培养模式,学习期间可选择赴杜伦大学交流学习)(中外合作办学)",电子信息工程,985,28,128
m_520108_24,武汉大学,武汉大学08,24,"地球物理学(只录取明确填报该专业志愿的考生)(以下专业与英国杜伦大学联合举办,采取4+0培养模式,学习期间可选择赴杜伦大学交流学习)(中外合作办学)",地球物理学,985,28,128
m_520108_23,武汉大学,武汉大学08,23,"机械设计制造及其自动化(只录取明确填报该专业志愿的考生)(以下专业与英国杜伦大学联合举办,采取4+0培养模式,学习期间可选择赴杜伦大学交流学习)(中外合作办学)",机械设计制造及其自动化,985,28,128
m_710409_22,西安交通大学,西安交通大学09,22,"材料科学与工程(创新港校区)(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",材料科学与工程,985,30,128
m_710409_21,西安交通大学,西安交通大学09,21,"智能制造工程(创新港校区)(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",智能制造工程,985,30,128
m_710413_28,西安交通大学,西安交通大学13,28,"建筑学(创新港校区)(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校)(中外合作办学)",建筑学,985,31,128
