sourceSheet,sourceRow,school,majorText,plan2026,college,partner
985,7,浙江大学,生物医学、生物信息学,是,浙江大学爱丁堡大学联合学院,爱丁堡大学
985,8,浙江大学,机械工程、电气工程及其自动化、电子与计算机工程、土木工程,否,浙江大学爱丁堡大学联合学院,伊利诺伊大学厄巴纳香槟校区
985,10,同济大学,数据科学与大数据技术、信息管理与信息系统、,26年暂不招,中德工程学院,德国亚琛应用科技大学等34所应用科技大学
985,11,北京航空航天大学,交通运输、飞行器适航技术、测控技术与仪器、电子信息工程,是,北航中法航空学院,法国国立民航大学
985,13,北京航空航天大学,人工智能、数学与应用数学、信计、应用物理学,是,中法工程师学院（本部）和之前的工程力学性质是一样的，不在杭州,法国中央理工大学集团
985,15,中国人民大学,法语、数学与应用数学,是,中法学院,法国巴黎索邦大学
985,16,中国人民大学,国民经济管理、人力资源管理、传播学（国际新闻传播方向）,是,中法学院,蒙彼利埃保罗—瓦莱里大学
985,17,中国人民大学,金融学,是,中法学院,KEDGE商学院
985,18,中国人民大学,数据科学与大数据技术,是,中法学院,索邦大学
985,19,电子科技大学,(电子信息)(包含专业电子信息工程),是,电子科技大学格拉斯哥学院,英国格拉斯哥大学
985,20,电子科技大学,(通信、微电子)(包含专业通信工程、微电子科学与工程),是,电子科技大学格拉斯哥学院,英国格拉斯哥大学
985,21,电子科技大学,软件工程（暂不确定招生形式，是否放在电子信息类招生，要等招办最后的消息）,是,格拉斯哥海南学院,英国格拉斯哥大学
985,22,电子科技大学,"电子信息类(包含专业通信工程、电子信息工程、微电子科学与工程)
（26年新增微电子科学与工程）",是,格拉斯哥海南学院,英国格拉斯哥大学
985,29,武汉大学,药学,是,药学院,新西兰奥克兰大学
985,38,哈尔滨工业大学,船舶与海洋工程（威海）,是,海洋科学与工程国际学院,斯克莱德大学
985,39,哈尔滨工业大学,通信工程（深圳）,是,信息科学与技术学院,汉阳大学
985,40,哈尔滨工业大学,智能材料与结构（威海）,是,材料科学与工程学院,汉阳大学
985,43,大连理工大学,应用物理学、工程力学,是,大连理工大学白俄罗斯国立大学联合学院,白俄罗斯国立大学
985,44,大连理工大学,数学与应用数学,是,大连理工大学白俄罗斯国立大学联合学院,白俄罗斯国立大学
985,45,大连理工大学,机械设计制造及其自动化,是,机械工程学院,加州大学欧文分校
985,49,山东大学（威海）,经济学、国际经济与贸易、供应链管理,是 (首届),山东大学怀卡托国际商学院,新西兰怀卡托大学
985,50,中山大学,核工程与核技术,是,中山大学中法核工程与技术学院,法国民用核能工程师教学联盟
985,56,兰州大学,计算机科学与技术,否,信息科学与工程学院,德雷塞尔大学
