key,M列专业板块,C列简化专业组名,风险等级,亲缘判断,院校专业组代码,完整专业类覆盖
历史|提前本科批|国防科技大学|国防科技大学01,文法教育,外语组,低,同族,010201,外国语言文学类
历史|提前本科批|国防科技大学|国防科技大学02,文法教育,外语组,低,同族,010202,外国语言文学类
历史|提前本科批|国防科技大学|国防科技大学03,文法教育,法政组,低,同族,010203,政治学类、马克思主义理论类
物理|提前本科批|国防科技大学|国防科技大学04,文法教育、经管商贸,经管+文法组,低,相近混合,010204,外国语言文学类、管理科学与工程类
物理|提前本科批|国防科技大学|国防科技大学05,文法教育、经管商贸,经管+文法组,低,相近混合,010205,外国语言文学类、管理科学与工程类
物理|提前本科批|国防科技大学|国防科技大学06,理学基础、机械能源、化材药、带电工科、土建测绘、交通航空、军警安全,大理工组（夹材料/测绘）,高,大杂烩,010206,数学类、物理学类、大气科学类、海洋科学类、统计学类、力学类、机械类、仪器类、材料类、电子信息类、计算机类、测绘类、航空航天类、兵器类、军事类
物理|提前本科批|国防科技大学|国防科技大学07,带电工科、军警安全,军警+带电混合组,低,跨界混合,010207,电子信息类、兵器类、军事类
物理|提前本科批|国防科技大学|国防科技大学08,带电工科,电子信息组,低,同族,010208,电子信息类
物理|提前本科批|国防科技大学|国防科技大学09,理学基础、带电工科,带电+理学组,低,相近混合,010209,大气科学类、计算机类
物理|提前本科批|国防科技大学|国防科技大学10,文法教育,政治学组,低,同族,010210,政治学类
物理|提前本科批|陆军工程大学|陆军工程大学01,军警安全,军事组,低,同族,010501,军事类
物理|提前本科批|陆军工程大学|陆军工程大学02,军警安全,军事组,低,同族,010502,军事类
物理|提前本科批|陆军工程大学|陆军工程大学03,军警安全,军事组,低,同族,010503,军事类
物理|提前本科批|陆军工程大学|陆军工程大学04,机械能源、土建测绘、交通航空、军警安全,大理工组（夹土木）,高,大杂烩,010504,机械类、土木类、航空航天类、兵器类、军事类
物理|提前本科批|陆军工程大学|陆军工程大学05,带电工科,计算机电子组,低,同族,010505,电子信息类、计算机类
物理|提前本科批|陆军工程大学|陆军工程大学06,交通航空,交通运输组,低,同族,010506,交通运输类
物理|提前本科批|陆军工程大学|陆军工程大学07,带电工科、军警安全,带电+军警混合组,低,跨界混合,010507,电子信息类、计算机类、兵器类
物理|提前本科批|陆军工程大学|陆军工程大学08,机械能源,能源动力组,低,同族,010508,能源动力类
物理|本科批|陆军工程大学|陆军工程大学09,土建测绘、经管商贸,经管商贸组（含建筑）,中,跨界混合,010509,建筑类、管理科学与工程类
物理|本科批|陆军工程大学|陆军工程大学10,带电工科、土建测绘,带电工科组（夹土木）,高,冷热混放,010510,电气类、电子信息类、计算机类、土木类
历史|提前本科批|陆军步兵学院|陆军步兵学院01,文法教育,中文组,低,同族,010801,中国语言文学类
历史|提前本科批|陆军步兵学院|陆军步兵学院02,文法教育,中文组,低,同族,010802,中国语言文学类
物理|提前本科批|陆军步兵学院|陆军步兵学院03,军警安全,军事组,低,同族,010803,军事类
物理|提前本科批|陆军步兵学院|陆军步兵学院04,军警安全,军事组,低,同族,010804,军事类
物理|提前本科批|陆军步兵学院|陆军步兵学院05,军警安全,军事组,低,同族,010805,军事类
物理|提前本科批|陆军步兵学院|陆军步兵学院06,军警安全,兵器组,低,同族,010806,兵器类
物理|提前本科批|陆军兵种大学|陆军兵种大学01,军警安全、经管商贸,经管+军警混合组,低,跨界混合,011401,军事类、管理科学与工程类
物理|提前本科批|陆军兵种大学|陆军兵种大学02,军警安全、经管商贸,经管+军警混合组,低,跨界混合,011402,军事类、管理科学与工程类
物理|提前本科批|陆军兵种大学|陆军兵种大学03,军警安全,军事组,低,同族,011403,军事类
物理|提前本科批|陆军兵种大学|陆军兵种大学04,军警安全,军事组,低,同族,011404,军事类
物理|提前本科批|陆军兵种大学|陆军兵种大学05,军警安全,军事组,低,同族,011405,军事类
物理|提前本科批|陆军兵种大学|陆军兵种大学06,机械能源、带电工科、军警安全,带电+机械+军警组,中,跨界混合,011406,机械类、电气类、电子信息类、计算机类、兵器类
物理|提前本科批|陆军兵种大学|陆军兵种大学07,机械能源、化材药、带电工科、军警安全,大理工组（夹材料）,中,大杂烩,011407,机械类、材料类、电气类、电子信息类、兵器类
物理|提前本科批|陆军防化学院|陆军防化学院01,军警安全,军事组,低,同族,012001,军事类
物理|提前本科批|陆军防化学院|陆军防化学院02,机械能源,核工程组,低,同族,012002,核工程类
物理|提前本科批|联勤保障部队工程大学|联勤保障部队工程大学01,军警安全、经管商贸,经管+军警混合组,低,跨界混合,012101,军事类、工商管理类
物理|提前本科批|联勤保障部队工程大学|联勤保障部队工程大学02,军警安全、经管商贸,经管+军警混合组,低,跨界混合,012102,军事类、工商管理类
物理|提前本科批|联勤保障部队工程大学|联勤保障部队工程大学03,机械能源、带电工科、交通航空,带电+机械+交通组,中,相近混合,012103,机械类、电气类、交通运输类
物理|提前本科批|联勤保障部队工程大学|联勤保障部队工程大学04,化材药、机械能源、军警安全,机械能源组（含化学）,中,跨界混合,012104,化学类、能源动力类、军事类
物理|提前本科批|联勤保障部队工程大学|联勤保障部队工程大学05,军警安全,军事组,低,同族,012105,军事类
物理|提前本科批|海军军医大学|海军军医大学01,经管商贸,公管组,低,同族,013101,公共管理类
物理|提前本科批|海军军医大学|海军军医大学02,医药护理,医药护理组,低,同族,013102,基础医学类、临床医学类、公共卫生与预防医学类
物理|提前本科批|海军军医大学|海军军医大学03,医药护理,医药护理组,中,同族,013103,临床医学类、护理学类
物理|本科批|海军军医大学|海军军医大学04,医药护理,医药护理组,低,同族,013104,临床医学类、中医学类
物理|本科批|海军军医大学|海军军医大学05,化材药、生环食品,化材药组（含生物科学）,低,相近混合,013105,中药学类、生物科学类、药学类
物理|本科批|海军军医大学|海军军医大学06,医药护理,护理组,中,同族,013106,护理学类
物理|提前本科批|陆军军医大学|陆军军医大学01,经管商贸,公管组,低,同族,013201,公共管理类
物理|提前本科批|陆军军医大学|陆军军医大学02,医药护理,医药护理组,低,同族,013202,临床医学类、公共卫生与预防医学类、医学技术类
物理|提前本科批|陆军军医大学|陆军军医大学03,医药护理,临床组,低,同族,013203,临床医学类
物理|提前本科批|空军军医大学|空军军医大学01,医药护理,临床口腔组,低,同族,013301,临床医学类、口腔医学类
物理|提前本科批|空军军医大学|空军军医大学02,医药护理,医药护理组,低,同族,013302,临床医学类、公共卫生与预防医学类
物理|提前本科批|信息支援部队工程大学|信息支援部队工程大学01,带电工科、军警安全,带电+军警混合组,低,跨界混合,013501,电子信息类、计算机类、军事类
物理|提前本科批|信息支援部队工程大学|信息支援部队工程大学02,带电工科,电子信息组,低,同族,013502,电子信息类
物理|提前本科批|信息支援部队工程大学|信息支援部队工程大学03,带电工科、军警安全,带电+军警混合组,低,跨界混合,013503,计算机类、军事类
物理|提前本科批|海军工程大学|海军工程大学01,理学基础、带电工科、机械能源、军警安全,大理工组,中,大杂烩,013901,物理学类、电子信息类、自动化类、计算机类、核工程类、军事类
物理|提前本科批|海军工程大学|海军工程大学02,机械能源、带电工科、交通航空、军警安全,大理工组,中,大杂烩,013902,能源动力类、电气类、交通运输类、海洋工程类、军事类
物理|提前本科批|海军工程大学|海军工程大学03,带电工科、交通航空、机械能源,带电+交通+机械组,中,相近混合,013903,电气类、交通运输类、核工程类
物理|提前本科批|海军工程大学|海军工程大学04,土建测绘、军警安全,土建测绘+军警混合组,中,跨界混合,013904,测绘类、军事类
物理|提前本科批|海军工程大学|海军工程大学05,带电工科、军警安全,带电+军警混合组,低,跨界混合,013905,电子信息类、军事类
物理|提前本科批|海军工程大学|海军工程大学06,带电工科,计算机组,低,同族,013906,计算机类
物理|提前本科批|海军工程大学|海军工程大学07,军警安全,兵器组,低,同族,013907,兵器类
物理|提前本科批|海军工程大学|海军工程大学08,军警安全,兵器组,低,同族,013908,兵器类
物理|提前本科批|海军大连舰艇学院|海军大连舰艇学院01,带电工科、土建测绘、交通航空、军警安全,大理工组（夹测绘）,高,大杂烩,014101,电子信息类、测绘类、交通运输类、兵器类、军事类
物理|提前本科批|海军大连舰艇学院|海军大连舰艇学院02,土建测绘,测绘组,中,同族,014102,测绘类
物理|提前本科批|海军潜艇学院|海军潜艇学院01,带电工科、军警安全,军警+带电混合组,低,跨界混合,014201,电子信息类、兵器类、军事类
