身份键(院校专业组代码+专业代码),科类,批次,院校,专业组,专业代码,专业全称,25最低分,25最低位次,Excel行号
010201+01,历史,提前批,国防科技大学,国防科技大学01,01,日语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,4
010201+02,历史,提前批,国防科技大学,国防科技大学01,02,马来语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,5
010201+03,历史,提前批,国防科技大学,国防科技大学01,03,希伯来语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,6
010201+04,历史,提前批,国防科技大学,国防科技大学01,04,葡萄牙语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,7
010202+05,历史,提前批,国防科技大学,国防科技大学02,05,乌尔都语(军事翻译、军事外语技术初级技术军官)(只招女生)(体检标准:通用标准合格),,,8
010203+06,历史,提前批,国防科技大学,国防科技大学03,06,外交学(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),636,776,9
010203+07,历史,提前批,国防科技大学,国防科技大学03,07,国际事务与国际关系(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),634,890,10
010203+08,历史,提前批,国防科技大学,国防科技大学03,08,思想政治教育(政治工作初级指挥军官)(只招男生)(体检标准:通用标准合格),,,11
010203+09,历史,提前批,国防科技大学,国防科技大学03,09,马克思主义理论(政治工作初级指挥军官)(只招男生)(体检标准:通用标准合格),,,12
010204+10,物理,提前批,国防科技大学,国防科技大学04,10,英语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,13
010204+11,物理,提前批,国防科技大学,国防科技大学04,11,管理科学(指挥勤务保障初级技术军官)(只招男生)(体检标准:通用标准合格),646,5311,14
010204+12,物理,提前批,国防科技大学,国防科技大学04,12,大数据管理与应用(数据管理与应用初级技术军官)(只招男生)(体检标准:通用标准合格),641,7122,15
010205+13,物理,提前批,国防科技大学,国防科技大学05,13,日语(军事翻译、军事外语技术初级技术军官)(只招女生)(体检标准:通用标准合格),,,16
010205+14,物理,提前批,国防科技大学,国防科技大学05,14,管理科学(指挥勤务保障初级技术军官)(只招女生)(体检标准:通用标准合格),,,17
010206+15,物理,提前批,国防科技大学,国防科技大学06,15,数学与应用数学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),649,4364,18
010206+16,物理,提前批,国防科技大学,国防科技大学06,16,物理学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),649,4364,19
010206+17,物理,提前批,国防科技大学,国防科技大学06,17,大气科学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,20
010206+18,物理,提前批,国防科技大学,国防科技大学06,18,大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),644,5986,21
010206+19,物理,提前批,国防科技大学,国防科技大学06,19,海洋技术(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格),,,22
010206+20,物理,提前批,国防科技大学,国防科技大学06,20,应用统计学(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),,,23
010206+21,物理,提前批,国防科技大学,国防科技大学06,21,理论与应用力学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),647,4974,24
010206+22,物理,提前批,国防科技大学,国防科技大学06,22,机械工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),,,25
010206+23,物理,提前批,国防科技大学,国防科技大学06,23,测控技术与仪器(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,26
