"学校","专业组","专业代码","专业名称","专业类","梯队","桶","严格提示类型"
"国防科技大学","国防科技大学06","15","数学与应用数学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格)","数学类","2","数学/物理","理学基础"
"国防科技大学","国防科技大学06","16","物理学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格)","物理学类","2","数学/物理","理学基础"
"国防科技大学","国防科技大学06","17","大气科学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格)","大气科学类","3","三梯队行业方向","理学基础"
"国防科技大学","国防科技大学06","18","大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招男生)(体检标准:通用标准合格)","大气科学类","3","三梯队行业方向","理学基础"
"国防科技大学","国防科技大学06","19","海洋技术(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格)","海洋科学类","3","三梯队行业方向","理学基础"
"国防科技大学","国防科技大学06","21","理论与应用力学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格)","力学类","3","三梯队行业方向","理学基础"
"国防科技大学","国防科技大学06","24","材料科学与工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格)","材料类","3","三梯队行业方向","材料"
"国防科技大学","国防科技大学06","25","纳米材料与技术(新兴高技术初级技术军官)(只招另生)(体检标准:通用标准合格)","材料类","3","三梯队行业方向","材料"
"国防科技大学","国防科技大学06","33","导航工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格)","测绘类","4","低热度远缘方向","低热度远缘"
"国防科技大学","国防科技大学06","35","武器系统与工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格)","兵器类","3","三梯队行业方向","三梯队"
"国防科技大学","国防科技大学06","47","新概念武器技术与工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格)","军事类","3","三梯队行业方向","三梯队"
"国防科技大学","国防科技大学09","56","大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招女生)(体检标准:通用标准合格)","大气科学类","3","三梯队行业方向","理学基础"
"陆军工程大学","陆军工程大学01","06","军事设施工程(工程建筑、维护分队指挥与技术军官)(只招男生)(体检标准:通用标准合格)","军事类","4","低热度远缘方向","低热度远缘"
"陆军工程大学","陆军工程大学10","43","土木工程(金国人防工程建筑结构设计与施工工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)","土木类","4","低热度远缘方向","低热度远缘"
"陆军工程大学","陆军工程大学10","44","建筑环境与能源应用工程(全国人防通风空调与给排水工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)","土木类","4","低热度远缘方向","能动"
