code,name,discipline,categoryCode,category,contentStatus,summaryExact,majorTextExact,classTextExact,courseSheet,careerSheet,universitySource,sources
010101,哲学,哲学,0101,哲学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
010102,逻辑学,哲学,0101,哲学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
010103K,宗教学,哲学,0101,哲学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
010104T,伦理学,哲学,0101,哲学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
020101,经济学,经济学,0201,经济学类,major,True,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020102,经济统计学,经济学,0201,经济学类,major,True,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020103T,国民经济管理,经济学,0201,经济学类,major,False,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020104T,资源与环境经济学,经济学,0201,经济学类,major,True,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020105T,商务经济学,经济学,0201,经济学类,major,True,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020106T,能源经济,经济学,0201,经济学类,major,True,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020107T,劳动经济学,经济学,0201,经济学类,major,True,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020108T,经济工程,经济学,0201,经济学类,major,True,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020109T,数字经济,经济学,0201,经济学类,major,True,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020110TK,低空经济与管理,经济学,0201,经济学类,major,False,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020111T,资源环境审计,经济学,0201,经济学类,major,False,True,True,经济金融类,经,,普通高等学校本科专业目录（2026年） | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020201K,财政学,经济学,0202,财政学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
020202,税收学,经济学,0202,财政学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
020203TK,国际税收,经济学,0202,财政学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
020301K,金融学,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020302,金融工程,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020303,保险学,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020304,投资学,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020305T,金融数学,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020306T,信用管理,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020307T,经济与金融,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020308T,精算学,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020309T,互联网金融,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020310T,金融科技,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020311TK,金融审计,经济学,0203,金融学类,major,True,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020312TK,数字金融,经济学,0203,金融学类,major,False,True,True,经济金融类,金,,普通高等学校本科专业目录（2026年） | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
020401,国际经济与贸易,经济学,0204,经济与贸易类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
020402,贸易经济,经济学,0204,经济与贸易类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
020403T,国际经济发展合作,经济学,0204,经济与贸易类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
020404TK,数字贸易,经济学,0204,经济与贸易类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030101K,法学,法学,0301,法学类,major,True,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030102T,知识产权,法学,0301,法学类,major,True,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030103T,监狱学,法学,0301,法学类,major,True,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030104T,信用风险管理与法律防控,法学,0301,法学类,major,True,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030105T,国际经贸规则,法学,0301,法学类,major,True,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030106TK,司法警察学,法学,0301,法学类,major,False,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030107TK,社区矫正,法学,0301,法学类,major,True,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030108TK,纪检监察,法学,0301,法学类,major,True,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030109TK,国际法,法学,0301,法学类,major,True,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030110TK,司法鉴定学,法学,0301,法学类,major,True,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030111TK,国家安全学,法学,0301,法学类,major,False,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030112TK,海外利益安全,法学,0301,法学类,major,False,True,True,法学类,法,,普通高等学校本科专业目录（2026年） | 专业大类详解 | 大学专业课程.xlsx | 专业就业去向.xlsx
030201,政治学与行政学,法学,0302,政治学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
030202,国际政治,法学,0302,政治学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030203,外交学,法学,0302,政治学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
030204T,国际事务与国际关系,法学,0302,政治学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
030205T,政治学、经济学与哲学,法学,0302,政治学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030206TK,国际组织与全球治理,法学,0302,政治学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
030301,社会学,法学,0303,社会学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030302,社会工作,法学,0303,社会学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
030303T,人类学,法学,0303,社会学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030304T,女性学,法学,0303,社会学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030305T,家政学,法学,0303,社会学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
030306T,老年学,法学,0303,社会学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030307T,社会政策,法学,0303,社会学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030401,民族学,法学,0304,民族学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030501,科学社会主义,法学,0305,马克思主义理论类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030502,中国共产党历史,法学,0305,马克思主义理论类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030503,思想政治教育,法学,0305,马克思主义理论类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
030504T,马克思主义理论,法学,0305,马克思主义理论类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
030505TK,工会学,法学,0305,马克思主义理论类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030601K,治安学,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030602K,侦查学,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030603K,边防管理,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030604TK,禁毒学,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030605TK,警犬技术,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030606TK,经济犯罪侦查,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030607TK,边防指挥,法学,0306,公安学类,class,False,False,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030608TK,消防指挥,法学,0306,公安学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
030609TK,警卫学,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030610TK,公安情报学,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030611TK,犯罪学,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
