school,subject,batch,groupCode,groupName,majorCode,majorName,majorClass,riskCategory,plan26,reason
国防科技大学,物理,提前本科批,010206,国防科技大学06,18,大气科学类,大气科学类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
国防科技大学,物理,提前本科批,010206,国防科技大学06,19,海洋技术,海洋科学类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
国防科技大学,物理,提前本科批,010206,国防科技大学06,24,材料科学与工程,材料类,材料化工生化类,1,二梯队宽口径主体组中夹入材料化工生化类
国防科技大学,物理,提前本科批,010206,国防科技大学06,25,纳米材料与技术,材料类,材料化工生化类,1,二梯队宽口径主体组中夹入材料化工生化类
国防科技大学,物理,提前本科批,010206,国防科技大学06,27,海洋信息工程,电子信息类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
国防科技大学,物理,提前本科批,010206,国防科技大学06,33,导航工程,测绘类,测绘地质类,1,二梯队宽口径主体组中夹入测绘地质类
陆军工程大学,物理,提前本科批,010504,陆军工程大学04,17,土木工程,土木类,土木建筑类,3,二梯队宽口径主体组中夹入土木建筑类
陆军工程大学,物理,提前本科批,010504,陆军工程大学04,18,道路桥梁与渡河工程,土木类,土木建筑类,6,二梯队宽口径主体组中夹入土木建筑类
陆军工程大学,物理,提前本科批,010504,陆军工程大学04,23,作战环境工程,军事类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
陆军兵种大学,物理,提前本科批,011407,陆军兵种大学07,41,材料科学与工程,材料类,材料化工生化类,1,二梯队宽口径主体组中夹入材料化工生化类
陆军兵种大学,物理,提前本科批,011407,陆军兵种大学07,42,材料科学与工程,材料类,材料化工生化类,1,二梯队宽口径主体组中夹入材料化工生化类
海军大连舰艇学院,物理,提前本科批,014101,海军大连舰艇学院01,03,导航工程,测绘类,测绘地质类,2,二梯队宽口径主体组中夹入测绘地质类
武警工程大学,物理,提前本科批,015403,武警工程大学03,15,作战环境工程,军事类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
中国民用航空飞行学院,物理,本科批,030604,中国民用航空飞行学院04,16,安全工程,安全科学与工程类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
中国民用航空飞行学院,物理,本科批,030604,中国民用航空飞行学院04,18,消防工程,公安技术类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
中国民用航空飞行学院,物理,本科批,030604,中国民用航空飞行学院04,21,导航工程,测绘类,测绘地质类,2,二梯队宽口径主体组中夹入测绘地质类
中国消防救援学院,物理,提前本科批,030702,中国消防救援学院02,02,核生化消防,公安技术类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
中国消防救援学院,物理,提前本科批,030702,中国消防救援学院02,03,核生化消防,公安技术类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
中国消防救援学院,物理,提前本科批,030702,中国消防救援学院02,05,通信工程,电子信息类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
中国消防救援学院,物理,提前本科批,030702,中国消防救援学院02,07,消防工程,公安技术类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
中国消防救援学院,物理,提前本科批,030702,中国消防救援学院02,08,火灾勘查,公安技术类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
南京大学,物理,提前本科批,110107,南京大学07,24,理科试验班类,理科试验班类,低接受度远缘方向,9,二梯队宽口径主体组中夹入低接受度远缘方向
南京大学,物理,提前本科批,110107,南京大学07,25,理科试验班类,理科试验班类,测绘地质类,7,二梯队宽口径主体组中夹入测绘地质类
东南大学,物理,提前本科批,110207,东南大学07,10,建筑类,建筑类,土木建筑类,15,二梯队宽口径主体组中夹入土木建筑类
东南大学,物理,提前本科批,110207,东南大学07,13,工科试验班,工科试验班类,低接受度远缘方向,30,二梯队宽口径主体组中夹入低接受度远缘方向
东南大学,物理,提前本科批,110207,东南大学07,14,工科试验班,工科试验班类,土木建筑类,35,二梯队宽口径主体组中夹入土木建筑类
东南大学,物理,提前本科批,110209,东南大学09,20,建筑类,建筑类,土木建筑类,5,二梯队宽口径主体组中夹入土木建筑类
东南大学,物理,提前本科批,110209,东南大学09,21,工科试验班,工科试验班类,土木建筑类,16,二梯队宽口径主体组中夹入土木建筑类
东南大学,物理,本科批,110211,东南大学11,26,建筑类,建筑类,土木建筑类,5,二梯队宽口径主体组中夹入土木建筑类
东南大学,物理,本科批,110211,东南大学11,27,工科试验班,工科试验班类,土木建筑类,30,二梯队宽口径主体组中夹入土木建筑类
东南大学,物理,本科批,110211,东南大学11,36,生物科学,生物科学类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
南京航空航天大学,物理,提前本科批,110304,南京航空航天大学04,27,材料科学与工程,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
南京航空航天大学,物理,本科批,110307,南京航空航天大学07,72,材料科学与工程,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
南京航空航天大学,物理,本科批,110307,南京航空航天大学07,73,新能源材料与器件,材料类,材料化工生化类,1,二梯队宽口径主体组中夹入材料化工生化类
南京理工大学,物理,提前本科批,110402,南京理工大学02,07,兵器类,兵器类,材料化工生化类,6,二梯队宽口径主体组中夹入材料化工生化类
