current_key,legacy_key,status,confidence,group25,group26,common_count,add_count,remove_count,in_count,out_count,advice
物理|本科批|陆军工程大学|陆军工程大学09,物理|普通批|陆军工程大学|陆军工程大学09,高度延续,高,陆军工程大学09,陆军工程大学09,2,0,0,0,0,常规核对
物理|本科批|陆军工程大学|陆军工程大学10,物理|普通批|陆军工程大学|陆军工程大学10,高度延续,高,陆军工程大学10,陆军工程大学10,5,0,0,0,0,常规核对
物理|本科批|海军军医大学|海军军医大学04,物理|普通批|海军军医大学|海军军医大学04,高度延续,高,海军军医大学04,海军军医大学04,4,0,0,0,0,常规核对
物理|本科批|海军军医大学|海军军医大学05,物理|普通批|海军军医大学|海军军医大学05,高度延续,高,海军军医大学05,海军军医大学05,3,0,0,0,0,常规核对
物理|本科批|海军军医大学|海军军医大学06,物理|普通批|海军军医大学|海军军医大学06,高度延续,高,海军军医大学06,海军军医大学06,1,0,0,0,0,常规核对
历史|本科批|中国人民公安大学|中国人民公安大学04,历史|普通批|中国人民公安大学|中国人民公安大学04,26新增组/无25承接,无,,中国人民公安大学04,0,1,0,0,0,重点核对
物理|本科批|中国人民公安大学|中国人民公安大学11,物理|普通批|中国人民公安大学|中国人民公安大学11,疑似对应/待核对,中低,中国人民公安大学10,中国人民公安大学11,0,1,1,0,0,重点核对
物理|本科批|中国人民警察大学|中国人民警察大学08,物理|普通批|中国人民警察大学|中国人民警察大学08,高度延续,高,中国人民警察大学12,中国人民警察大学08,1,0,0,0,0,常规核对
物理|本科批|中国人民警察大学|中国人民警察大学09,物理|普通批|中国人民警察大学|中国人民警察大学09,高度延续,高,中国人民警察大学13,中国人民警察大学09,4,1,1,0,0,重点核对
物理|本科批|中国人民警察大学|中国人民警察大学10,物理|普通批|中国人民警察大学|中国人民警察大学10,高度延续,高,中国人民警察大学14,中国人民警察大学10,1,0,0,0,0,常规核对
历史|本科批|中国民用航空飞行学院|中国民用航空飞行学院01,历史|普通批|中国民用航空飞行学院|中国民用航空飞行学院01,延续调整,中高,中国民用航空飞行学院01,中国民用航空飞行学院01,2,3,0,0,0,常规核对
物理|本科批|中国民用航空飞行学院|中国民用航空飞行学院03,物理|普通批|中国民用航空飞行学院|中国民用航空飞行学院03,延续调整,中高,中国民用航空飞行学院04,中国民用航空飞行学院03,5,3,1,0,0,重点核对
物理|本科批|中国民用航空飞行学院|中国民用航空飞行学院04,物理|普通批|中国民用航空飞行学院|中国民用航空飞行学院04,延续调整,中高,中国民用航空飞行学院05,中国民用航空飞行学院04,9,15,9,0,0,重点核对
历史|本科批|南京大学|南京大学03,历史|普通批|南京大学|南京大学03,疑似对应/待核对,中低,南京大学03,南京大学03,2,5,5,0,0,重点核对
物理|本科批|南京大学|南京大学08,物理|普通批|南京大学|南京大学08,26新增组/无25承接,低,,南京大学08,0,1,0,1,0,重点核对
物理|本科批|南京大学|南京大学09,物理|普通批|南京大学|南京大学09,26新增组/无25承接,低,,南京大学09,0,2,0,1,0,重点核对
物理|本科批|南京大学|南京大学10,物理|普通批|南京大学|南京大学10,26新增组/无25承接,低,,南京大学10,0,5,0,3,0,重点核对
物理|本科批|南京大学|南京大学11,物理|普通批|南京大学|南京大学11,26新增组/无25承接,低,,南京大学11,3,14,0,10,0,重点核对
物理|本科批|南京大学|南京大学12,物理|普通批|南京大学|南京大学12,26新增组/无25承接,低,,南京大学12,0,3,0,3,0,重点核对
物理|本科批|南京大学|南京大学13,物理|普通批|南京大学|南京大学13,高度延续,高,南京大学08,南京大学13,3,0,0,0,0,常规核对
物理|本科批|南京大学|南京大学14,物理|普通批|南京大学|南京大学14,高度延续,高,南京大学09,南京大学14,1,0,0,0,0,常规核对
历史|本科批|东南大学|东南大学05,历史|普通批|东南大学|东南大学05,高度延续,高,东南大学03,东南大学05,2,0,0,0,0,常规核对
物理|本科批|东南大学|东南大学10,物理|普通批|东南大学|东南大学10,26新增组/无25承接,低,,东南大学10,0,1,0,1,0,重点核对
物理|本科批|东南大学|东南大学11,物理|普通批|东南大学|东南大学11,延续调整,中低,东南大学06,东南大学11,6,6,10,1,4,重点核对
物理|本科批|东南大学|东南大学12,物理|普通批|东南大学|东南大学12,26新增组/无25承接,低,,东南大学12,2,5,0,5,0,重点核对
物理|本科批|东南大学|东南大学13,物理|普通批|东南大学|东南大学13,延续调整,中高,东南大学07,东南大学13,1,2,2,0,0,重点核对
物理|本科批|东南大学|东南大学14,物理|普通批|东南大学|东南大学14,高度延续,高,东南大学08,东南大学14,3,2,2,0,0,重点核对
物理|本科批|东南大学|东南大学15,物理|普通批|东南大学|东南大学15,26新增组/无25承接,无,,东南大学15,0,3,0,0,0,重点核对
历史|本科批|南京航空航天大学|南京航空航天大学01,历史|普通批|南京航空航天大学|南京航空航天大学01,高度延续,高,南京航空航天大学01,南京航空航天大学01,10,0,0,0,0,常规核对
物理|本科批|南京航空航天大学|南京航空航天大学05,物理|普通批|南京航空航天大学|南京航空航天大学05,疑似对应/待核对,中低,南京航空航天大学04,南京航空航天大学05,0,1,1,1,1,重点核对
物理|本科批|南京航空航天大学|南京航空航天大学06,物理|普通批|南京航空航天大学|南京航空航天大学06,延续调整,中低,南京航空航天大学05,南京航空航天大学06,4,4,1,4,1,重点核对
物理|本科批|南京航空航天大学|南京航空航天大学07,物理|普通批|南京航空航天大学|南京航空航天大学07,延续调整,中高,南京航空航天大学06,南京航空航天大学07,24,17,8,2,4,重点核对
物理|本科批|南京航空航天大学|南京航空航天大学08,物理|普通批|南京航空航天大学|南京航空航天大学08,高度延续,高,南京航空航天大学08,南京航空航天大学08,1,0,0,0,0,常规核对
物理|本科批|南京航空航天大学|南京航空航天大学09,物理|普通批|南京航空航天大学|南京航空航天大学09,延续调整,中高,南京航空航天大学07,南京航空航天大学09,1,0,1,0,1,重点核对
物理|本科批|南京航空航天大学|南京航空航天大学10,物理|普通批|南京航空航天大学|南京航空航天大学10,延续调整,中高,南京航空航天大学07,南京航空航天大学10,1,0,1,0,1,重点核对
物理|本科批|南京航空航天大学|南京航空航天大学11,物理|普通批|南京航空航天大学|南京航空航天大学11,26新增组/无25承接,低,,南京航空航天大学11,0,2,0,1,0,重点核对
历史|本科批|南京理工大学|南京理工大学01,历史|普通批|南京理工大学|南京理工大学01,延续调整,中高,南京理工大学01,南京理工大学01,4,2,1,0,0,常规核对
物理|本科批|南京理工大学|南京理工大学03,物理|普通批|南京理工大学|南京理工大学03,疑似对应/待核对,低,南京理工大学03,南京理工大学03,0,5,10,4,5,重点核对
物理|本科批|南京理工大学|南京理工大学04,物理|普通批|南京理工大学|南京理工大学04,26新增组/无25承接,低,,南京理工大学04,0,27,0,12,0,重点核对
物理|本科批|南京理工大学|南京理工大学05,物理|普通批|南京理工大学|南京理工大学05,疑似对应/待核对,中低,南京理工大学05,南京理工大学05,0,2,2,0,1,重点核对
物理|本科批|南京理工大学|南京理工大学06,物理|普通批|南京理工大学|南京理工大学06,高度延续,高,南京理工大学06,南京理工大学06,1,0,0,0,0,常规核对
