sourceExcelRow,ID,identityKey,subject,batch,school,schoolGroupCode,majorCode,majorName,plan26,score25,rank25,score24,rank24,score23,rank23,sourceRule
4,3,010201+01,历史,提前本科批,国防科技大学,010201,01,日语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,584,7093,628,960,same-row only
5,4,010201+02,历史,提前本科批,国防科技大学,010201,02,马来语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
6,5,010201+03,历史,提前本科批,国防科技大学,010201,03,希伯来语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
7,6,010201+04,历史,提前本科批,国防科技大学,010201,04,葡萄牙语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
8,8,010202+05,历史,提前本科批,国防科技大学,010202,05,乌尔都语(军事翻译、军事外语技术初级技术军官)(只招女生)(体检标准:通用标准合格),1,,,,,,,same-row only
9,10,010203+06,历史,提前本科批,国防科技大学,010203,06,外交学(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),1,636,776,,,,,same-row only
10,11,010203+07,历史,提前本科批,国防科技大学,010203,07,国际事务与国际关系(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),1,634,890,578,8656,,,same-row only
11,12,010203+08,历史,提前本科批,国防科技大学,010203,08,思想政治教育(政治工作初级指挥军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
12,13,010203+09,历史,提前本科批,国防科技大学,010203,09,马克思主义理论(政治工作初级指挥军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
13,7762,010204+10,物理,提前本科批,国防科技大学,010204,10,英语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
14,7763,010204+11,物理,提前本科批,国防科技大学,010204,11,管理科学(指挥勤务保障初级技术军官)(只招男生)(体检标准:通用标准合格),2,646,5311,,,,,same-row only
15,7764,010204+12,物理,提前本科批,国防科技大学,010204,12,大数据管理与应用(数据管理与应用初级技术军官)(只招男生)(体检标准:通用标准合格),1,641,7122,,,,,same-row only
16,7766,010205+13,物理,提前本科批,国防科技大学,010205,13,日语(军事翻译、军事外语技术初级技术军官)(只招女生)(体检标准:通用标准合格),1,,,,,,,same-row only
17,7767,010205+14,物理,提前本科批,国防科技大学,010205,14,管理科学(指挥勤务保障初级技术军官)(只招女生)(体检标准:通用标准合格),1,,,,,,,same-row only
18,7769,010206+15,物理,提前本科批,国防科技大学,010206,15,数学与应用数学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,649,4364,,,,,same-row only
19,7770,010206+16,物理,提前本科批,国防科技大学,010206,16,物理学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,649,4364,648,5060,,,same-row only
20,7771,010206+17,物理,提前本科批,国防科技大学,010206,17,大气科学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,643,6605,,,same-row only
21,7772,010206+18,物理,提前本科批,国防科技大学,010206,18,大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),2,644,5986,,,,,same-row only
22,7773,010206+19,物理,提前本科批,国防科技大学,010206,19,海洋技术(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
23,7774,010206+20,物理,提前本科批,国防科技大学,010206,20,应用统计学(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
24,7775,010206+21,物理,提前本科批,国防科技大学,010206,21,理论与应用力学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,647,4974,647,5323,643,7266,same-row only
25,7776,010206+22,物理,提前本科批,国防科技大学,010206,22,机械工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,651,4229,652,4397,same-row only
26,7777,010206+23,物理,提前本科批,国防科技大学,010206,23,测控技术与仪器(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,656,3027,,,same-row only
27,7778,010206+24,物理,提前本科批,国防科技大学,010206,24,材料科学与工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,651,3806,647,5323,643,7266,same-row only
28,7779,010206+25,物理,提前本科批,国防科技大学,010206,25,纳米材料与技术(新兴高技术初级技术军官)(只招另生)(体检标准:通用标准合格),1,,,,,,,same-row only
29,7780,010206+26,物理,提前本科批,国防科技大学,010206,26,微电子科学与工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,654,3082,,,657,3166,same-row only
30,7781,010206+27,物理,提前本科批,国防科技大学,010206,27,海洋信息工程(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格),1,649,4364,644,6276,646,6254,same-row only
31,7782,010206+28,物理,提前本科批,国防科技大学,010206,28,计算机科学与技术(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,672,507,675,597,687,100,same-row only
32,7783,010206+29,物理,提前本科批,国防科技大学,010206,29,网络工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,643,6363,645,5946,648,5543,same-row only
33,7784,010206+30,物理,提前本科批,国防科技大学,010206,30,信息安全(网络信息防御、通信初级技术军官)(只招男生)(体检标准:通用标准合格),1,663,1382,659,2476,646,6254,same-row only
34,7785,010206+31,物理,提前本科批,国防科技大学,010206,31,数据科学与大数据技术(信息数据保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,657,2843,647,5894,same-row only
35,7786,010206+32,物理,提前本科批,国防科技大学,010206,32,网络空间安全(网络信息防御、通信初级技术军官)(只招男生)(体检标准:通用标准合格),1,658,2210,644,6276,646,6254,same-row only
36,7787,010206+33,物理,提前本科批,国防科技大学,010206,33,导航工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,653,3282,650,4500,,,same-row only
37,7788,010206+34,物理,提前本科批,国防科技大学,010206,34,航空航天类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),3,658,2210,653,3747,,,same-row only
38,7789,010206+35,物理,提前本科批,国防科技大学,010206,35,武器系统与工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,643,6605,642,7656,same-row only
39,7790,010206+36,物理,提前本科批,国防科技大学,010206,36,无人系统指挥与控制(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,653,3282,,,,,same-row only
40,7791,010206+37,物理,提前本科批,国防科技大学,010206,37,预警探测(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,655,2848,,,,,same-row only
41,7792,010206+38,物理,提前本科批,国防科技大学,010206,38,侦察情报(情报分析整编、图像判读初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),2,640,7530,639,8015,640,8448,same-row only
42,7793,010206+39,物理,提前本科批,国防科技大学,010206,39,侦察情报(网电情报分析初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),1,643,6363,638,8380,636,10154,same-row only
43,7794,010206+40,物理,提前本科批,国防科技大学,010206,40,任务规划(任务规划初级技术军官)(只招男生)(体检标准:通用标准合格),1,648,4676,,,,,same-row only
