院校,科类,专业组,院校专业组代码,专业代码,专业名称,原专业类,原专业大类,目录专业,新专业类,新专业大类,匹配方式
江苏司法警官职业学院,历史,江苏司法警官职业学院01,116101,01,刑事执行(只招男生),公安司法类,公安司法大类,刑事执行,法律执行类,公安与司法大类,exact
江苏司法警官职业学院,历史,江苏司法警官职业学院01,116101,02,刑事侦查技术(只招男生),公安司法类,公安司法大类,刑事侦查技术,司法技术类,公安与司法大类,exact
江苏司法警官职业学院,历史,江苏司法警官职业学院01,116101,03,罪犯心理测量与矫正技术(只招男生),公安司法类,公安司法大类,罪犯心理测量与矫正技术,司法技术类,公安与司法大类,exact
江苏司法警官职业学院,历史,江苏司法警官职业学院02,116102,04,刑事执行(只招女生),公安司法类,公安司法大类,刑事执行,法律执行类,公安与司法大类,exact
江苏司法警官职业学院,历史,江苏司法警官职业学院02,116102,05,刑事侦查技术(只招女生),公安司法类,公安司法大类,刑事侦查技术,司法技术类,公安与司法大类,exact
江苏司法警官职业学院,历史,江苏司法警官职业学院02,116102,06,罪犯心理测量与矫正技术(只招女生),公安司法类,公安司法大类,罪犯心理测量与矫正技术,司法技术类,公安与司法大类,exact
江苏司法警官职业学院,物理,江苏司法警官职业学院04,116104,12,刑事执行(只招男生),公安司法类,公安司法大类,刑事执行,法律执行类,公安与司法大类,exact
江苏司法警官职业学院,物理,江苏司法警官职业学院04,116104,13,刑事侦查技术(只招男生),公安司法类,公安司法大类,刑事侦查技术,司法技术类,公安与司法大类,exact
江苏司法警官职业学院,物理,江苏司法警官职业学院04,116104,14,司法信息安全(只招男生),公安司法类,公安司法大类,司法信息安全,司法技术类,公安与司法大类,exact
江苏司法警官职业学院,物理,江苏司法警官职业学院04,116104,15,罪犯心理测量与矫正技术(只招男生),公安司法类,公安司法大类,罪犯心理测量与矫正技术,司法技术类,公安与司法大类,exact
江苏司法警官职业学院,物理,江苏司法警官职业学院05,116105,16,刑事执行(只招女生),公安司法类,公安司法大类,刑事执行,法律执行类,公安与司法大类,exact
江苏司法警官职业学院,物理,江苏司法警官职业学院05,116105,17,刑事侦查技术(只招女生),公安司法类,公安司法大类,刑事侦查技术,司法技术类,公安与司法大类,exact
江苏司法警官职业学院,物理,江苏司法警官职业学院05,116105,18,司法信息安全(只招女生),公安司法类,公安司法大类,司法信息安全,司法技术类,公安与司法大类,exact
江苏司法警官职业学院,物理,江苏司法警官职业学院05,116105,19,罪犯心理测量与矫正技术(只招女生),公安司法类,公安司法大类,罪犯心理测量与矫正技术,司法技术类,公安与司法大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,01,软件技术,计算机类,电子与信息大类,软件技术,计算机类,电子与信息大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,02,金融服务与管理,财经商贸类,财经商贸大类,金融服务与管理,金融类,财经商贸大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,03,大数据与会计,财务会计类,财经商贸大类,大数据与会计,财务会计类,财经商贸大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,04,国际经济与贸易,财经商贸类,财经商贸大类,国际经济与贸易,经济贸易类,财经商贸大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,05,商务数据分析与应用,财经商贸类,财经商贸大类,商务数据分析与应用,电子商务类,财经商贸大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,06,商务英语,教育体育类,教育与体育大类,商务英语,语言类,教育与体育大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,07,商务日语,其他专业类,其他,商务日语,语言类,教育与体育大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,08,民政服务与管理,其他专业类,其他,民政服务与管理,公共管理类,公共管理与服务大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,09,人力资源管理,公共管理服务类,公共管理与服务大类,人力资源管理,公共管理类,公共管理与服务大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,10,婚庆服务与管理,公共管理服务类,公共管理与服务大类,婚庆服务与管理,公共服务类,公共管理与服务大类,exact
长沙民政职业技术学院,历史,长沙民政职业技术学院01,531201,11,现代殡葬技术与管理,公共管理服务类,公共管理与服务大类,现代殡葬技术与管理,公共服务类,公共管理与服务大类,exact
南京铁道职业技术学院,历史,南京铁道职业技术学院01,115501,01,大数据与会计(与金陵科技学院分段培养项目),财务会计类,财经商贸大类,大数据与会计,财务会计类,财经商贸大类,exact
南京铁道职业技术学院,历史,南京铁道职业技术学院02,115502,02,铁道交通运营管理(适合男生),铁道运输类,交通运输大类,铁道交通运营管理,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,历史,南京铁道职业技术学院02,115502,03,城市轨道交通运营管理(适合男生),铁道运输类,交通运输大类,城市轨道交通运营管理,城市轨道交通类,交通运输大类,exact
南京铁道职业技术学院,历史,南京铁道职业技术学院02,115502,04,铁路物流管理(适合男生),铁道运输类,交通运输大类,铁路物流管理,物流类,财经商贸大类,exact
南京铁道职业技术学院,历史,南京铁道职业技术学院03,115503,05,业财数据应用与管理,其他专业类,其他,业财数据应用与管理,财务会计类,财经商贸大类,exact
南京铁道职业技术学院,历史,南京铁道职业技术学院03,115503,06,数智营销,其他专业类,其他,数智营销,工商管理类,财经商贸大类,exact
南京铁道职业技术学院,历史,南京铁道职业技术学院03,115503,07,低空物流技术与运营,财经商贸类,财经商贸大类,低空物流技术与运营,物流类,财经商贸大类,exact
南京铁道职业技术学院,历史,南京铁道职业技术学院03,115503,08,融媒体技术与运营,其他专业类,其他,融媒体技术与运营,广播影视类,新闻传播大类,exact
南京铁道职业技术学院,历史,南京铁道职业技术学院04,115504,09,"铁道交通运营管理(中外合作办学)(报考该专业有色觉要求,具体请查阅院校招生章程)(适合男生)",铁道运输类,交通运输大类,铁道交通运营管理,铁道运输类,交通运输大类,exact
中国民用航空飞行学院,物理,中国民用航空飞行学院05,030605,39,"飞机机电设备维修(成都天府校区)(报考该专业有色觉要求,具体请查阅院校招生章程)",航空运输类,交通运输大类,飞机机电设备维修,航空运输类,交通运输大类,exact
广州民航职业技术学院,历史,广州民航职业技术学院01,541501,01,民航运输服务(花都赤坭校区),航空运输类,交通运输大类,民航运输服务,航空运输类,交通运输大类,exact
广州民航职业技术学院,历史,广州民航职业技术学院01,541501,02,航空物流管理(花都赤坭校区),航空运输类,交通运输大类,航空物流管理,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院01,330901,01,邮政快递运营管理(西校区)(南通地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院02,330902,02,机电一体化技术(邮政装备智能化方向)(西校区)(连云港地区就业),电气自动化类,装备制造大类,机电一体化技术,自动化类,装备制造大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院02,330902,03,现代物流管理(东校区)(连云港地区就业),财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院02,330902,04,邮政快递运营管理(西校区)(连云港地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院03,330903,05,现代物流管理(东校区)(淮安地区就业),财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院03,330903,06,邮政快递运营管理(西校区)(淮安地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院04,330904,07,现代物流管理(东校区)(扬州地区就业),财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院04,330904,08,供应链运营(东校区)(扬州地区就业),其他专业类,其他,供应链运营,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院04,330904,09,邮政快递运营管理(西校区)(扬州地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院05,330905,10,邮政快递智能技术(西校区)(镇江地区就业),其他专业类,其他,邮政快递智能技术,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院05,330905,11,邮政快递运营管理(西校区)(镇江地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
