项目,数量
目录专业数,802
专科有效专业行,7660
成功匹配,7660
未匹配保留原分类,0
专业组数,1350

专业大类分布,数量
电子与信息大类,1476
装备制造大类,1448
财经商贸大类,1209
交通运输大类,749
医药卫生大类,470
土木建筑大类,388
旅游大类,324
食品药品与粮食大类,237
农林牧渔大类,230
教育与体育大类,230
公共管理与服务大类,181
资源环境与安全大类,179
新闻传播大类,128
能源动力与材料大类,125
生物与化工大类,102
文化艺术大类,62
轻工纺织大类,60
公安与司法大类,44
水利大类,18

专业类分布,数量
计算机类,1063
自动化类,650
财务会计类,396
电子商务类,323
电子信息类,287
旅游类,253
机械设计制造类,238
汽车制造类,226
物流类,212
航空装备类,211
铁道运输类,197
药品与医疗器械类,172
航空运输类,170
城市轨道交通类,147
工商管理类,131
道路运输类,126
建筑设计类,120
公共服务类,119
语言类,115
广播影视类,114
中医药类,111
健康管理与促进类,110
土建施工类,100
水上运输类,99
畜牧业类,94
建设工程管理类,93
农业类,86
机电设备类,80
通信类,77
金融类,71
餐饮类,71
教育类,67
化工技术类,64
医学技术类,64
环境保护类,63
食品类,59
经济贸易类,54
护理类,51
测绘地理信息类,50
集成电路类,49
体育类,48
电力技术类,46
建筑设备类,45
纺织服装类,44
艺术设计类,41
安全类,38
生物技术类,38
非金属材料类,38
林业类,35
公共管理类,34
康复治疗类,32
公共卫生与卫生管理类,31
船舶与海洋工程装备类,30
药学类,30
临床医学类,27
新能源发电工程类,24
公共事业类,18
水利工程与管理类,18
法律实务类,18
财政税务类,17
文化服务类,16
市政工程类,15
渔业类,15
新闻出版类,14
眼视光类,14
资源勘查类,13
轨道装备类,13
司法技术类,12
文秘类,10
轻化工类,10
邮政类,10
房地产类,9
安全防范类,8
热能与发电工程类,7
地质类,6
城乡规划与管理类,6
法律执行类,6
粮食类,6
黑色金属材料类,6
包装类,5
石油与天然气类,5
统计类,5
表演艺术类,5
有色金属材料类,4
气象类,4
印刷类,1
