院校,科类,批次,院校专业组代码,专业组,风险等级,专业代码,专业名称,专业类,大类,风险说明
江苏司法警官职业学院,历史,提前专科批,116101,江苏司法警官职业学院01,未标风险,01,刑事执行(只招男生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,历史,提前专科批,116101,江苏司法警官职业学院01,未标风险,02,刑事侦查技术(只招男生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,历史,提前专科批,116101,江苏司法警官职业学院01,未标风险,03,罪犯心理测量与矫正技术(只招男生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,历史,提前专科批,116102,江苏司法警官职业学院02,未标风险,04,刑事执行(只招女生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,历史,提前专科批,116102,江苏司法警官职业学院02,未标风险,05,刑事侦查技术(只招女生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,历史,提前专科批,116102,江苏司法警官职业学院02,未标风险,06,罪犯心理测量与矫正技术(只招女生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,物理,提前专科批,116104,江苏司法警官职业学院04,未标风险,12,刑事执行(只招男生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,物理,提前专科批,116104,江苏司法警官职业学院04,未标风险,13,刑事侦查技术(只招男生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,物理,提前专科批,116104,江苏司法警官职业学院04,未标风险,14,司法信息安全(只招男生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,物理,提前专科批,116104,江苏司法警官职业学院04,未标风险,15,罪犯心理测量与矫正技术(只招男生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏司法警官职业学院,物理,提前专科批,116105,江苏司法警官职业学院05,未标风险,16,刑事执行(只招女生),公安司法类,公安司法大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
