school,subject,batch,group,groupCode,code,major,majorClass,discipline,strictCategory,strictTone,sourceTone,plan26,score25,rank25
国防科技大学,物理,提前本科批,国防科技大学06,010206,15,数学与应用数学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),数学类,理学,理学/基础类,orange,green,1,649,4364
国防科技大学,物理,提前本科批,国防科技大学06,010206,16,物理学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),物理学类,理学,理学/基础类,orange,green,1,649,4364
国防科技大学,物理,提前本科批,国防科技大学06,010206,20,应用统计学(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),统计学类,理学,理学/基础类,orange,green,1,,
国防科技大学,物理,提前本科批,国防科技大学06,010206,21,理论与应用力学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),力学类,工学,理学/基础类,orange,green,1,647,4974
国防科技大学,物理,提前本科批,国防科技大学06,010206,24,材料科学与工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),材料类,工学,材料类,orange,green,1,651,3806
国防科技大学,物理,提前本科批,国防科技大学06,010206,25,纳米材料与技术(新兴高技术初级技术军官)(只招另生)(体检标准:通用标准合格),材料类,工学,材料类,orange,green,1,,
国防科技大学,物理,提前本科批,国防科技大学06,010206,33,导航工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),测绘类,工学,远缘低接受度方向,red,orange,1,653,3282
陆军工程大学,物理,提前本科批,陆军工程大学01,010501,06,军事设施工程(工程建筑、维护分队指挥与技术军官)(只招男生)(体检标准:通用标准合格),军事类,军事学,远缘低接受度方向,red,blue,1,618,19675
陆军兵种大学,物理,提前本科批,陆军兵种大学07,011407,41,材料科学与工程(海军陆战队装甲步兵分队指挥军官)(只招男生)(体检标准:装甲岗位合格),材料类,工学,材料类,orange,green,1,601,33070
陆军兵种大学,物理,提前本科批,陆军兵种大学07,011407,42,材料科学与工程(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),材料类,工学,材料类,orange,green,1,,
海军工程大学,物理,提前本科批,海军工程大学01,013901,01,物理学(舰艇装备监测诊断、腐蚀防控初级技术军官)(只招男生)(体检标准:通用标准合格),物理学类,理学,理学/基础类,orange,green,1,622,17029
海军工程大学,物理,提前本科批,海军工程大学01,013901,05,辐射防护与核安全(辐射防护与安全初级技术军官)(只招男生)(体检标准:通用标准合格),核工程类,工学,能源动力类,orange,green,1,621,17707
海军工程大学,物理,提前本科批,海军工程大学02,013902,13,能源与动力工程(舰艇机电初级指挥与技术军官)(只招男生)(体检标准:舰艇岗位合格),能源动力类,工学,能源动力类,orange,yellow,2,620,18320
海军工程大学,物理,提前本科批,海军工程大学03,013903,22,核工程与核技术(潜艇核动力初级指挥与技术军官)(只招男生)(体检标准:潜艇岗位合格),核工程类,工学,能源动力类,orange,green,2,616,21044
海军大连舰艇学院,物理,提前本科批,海军大连舰艇学院01,014101,03,导航工程(舰艇航海初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),测绘类,工学,远缘低接受度方向,red,green,2,631,11770
空军工程大学,物理,提前本科批,空军工程大学03,014403,07,飞行器动力工程(航空机械、机电初级技术军官)(只招男生)(体检标准:通用标准合格),航空航天类,工学,能源动力类,orange,green,5,622,17029
军事航天部队航天工程大学,物理,提前本科批,军事航天部队航天工程大学01,014601,02,飞行器动力工程(航天动力初级技术军官)(只招男生)(体检标准:通用标准合格),航空航天类,工学,能源动力类,orange,green,2,,
军事航天部队航天工程大学,物理,提前本科批,军事航天部队航天工程大学02,014602,07,飞行器动力工程(航天动力初级技术军官)(只招女生)(体检标准:通用标准合格),航空航天类,工学,能源动力类,orange,green,1,,
网络空间部队信息工程大学,物理,提前本科批,网络空间部队信息工程大学02,015102,02,数学与应用数学(密码研究初级技术军官)(只招男生)(体检标准:通用标准合格),数学类,理学,理学/基础类,orange,green,1,,
网络空间部队信息工程大学,物理,提前本科批,网络空间部队信息工程大学02,015102,03,量子信息科学(量子计算技术军官)(只招男生)(体检标准:通用标准合格),物理学类,理学,理学/基础类,orange,green,3,637,8838
火箭军工程大学,物理,提前本科批,火箭军工程大学03,015203,15,核工程与核技术(器材装配检测、转载运输初级技术军官)(只招男生)(体检标准:导弹岗位合格),核工程类,工学,能源动力类,orange,green,2,606,28842
武警工程大学,物理,提前本科批,武警工程大学03,015403,05,应用统计学(执勤分队指挥警官)(只招男生)(体检标准:通用标准合格),统计学类,理学,理学/基础类,orange,green,3,598,35804
武警工程大学,物理,提前本科批,武警工程大学03,015403,15,作战环境工程(机动分队指挥警官)(只招男生)(体检标准:通用标准合格),军事类,军事学,远缘低接受度方向,red,blue,3,601,33070
中国民用航空飞行学院,物理,本科批,中国民用航空飞行学院04,030604,16,"安全工程(校本部)(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)",安全科学与工程类,工学,远缘低接受度方向,red,green,2,561,77094
中国民用航空飞行学院,物理,本科批,中国民用航空飞行学院04,030604,21,"导航工程(导航应用与规划、空管保障设施)(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)",测绘类,工学,远缘低接受度方向,red,green,2,571,64678
中国民用航空飞行学院,物理,本科批,中国民用航空飞行学院04,030604,24,"新能源科学与工程(航空新能源开发及其利用)(校本部)(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)",能源动力类,工学,能源动力类,orange,yellow,1,,
